year,industry1,job_vacancy,job_vacancy_rate,recruitment_rate,resignation_rate,retrench_term_contract,retrench,retrench_permanent
1990,construction,2200,5.2,3.3,3.4,,,
1990,manufacturing,24300,6.9,4.4,4,,,
1990,others,100,5.1,4.1,3.7,,,
1990,services,17100,5.6,4.9,4,,,
1991,construction,2500,5,3.4,2.9,,,
1991,manufacturing,19300,5.5,3.8,3.6,,,
1991,others,100,6.6,3.8,3.4,,,
1991,services,16200,5,4.1,3.5,,,
1992,construction,3100,5.2,3,2.4,,,
1992,manufacturing,18000,5.1,3.5,3.5,,,
1992,others,100,6.1,3.4,3.6,,,
1992,services,17000,4.9,3.9,3.3,,,
1993,construction,3400,4.5,3.8,2.5,,,
1993,manufacturing,16200,4.7,3.4,3.1,,,
1993,others,-,4,3.9,2.8,,,
1993,services,18500,5,3.9,3.3,,,
1994,construction,3500,3.8,2.6,2.1,,,
1994,manufacturing,18800,5.3,3.4,3.1,,,
1994,others,-,3.2,2.2,2,,,
1994,services,21400,5.4,3.8,3.3,,,
1995,construction,4200,3.9,3.3,2.3,,,
1995,manufacturing,19300,5.3,3.3,3,,,
1995,others,-,2.7,2.4,1.8,,,
1995,services,22700,5.4,3.8,3.2,,,
1996,construction,6800,4.9,2.9,2.1,,,
1996,manufacturing,15700,4.4,2.9,2.8,,,
1996,others,-,2.7,2,2.1,,,
1996,services,21700,5,3.5,3,,,
1997,construction,7200,4.3,3.1,2.3,,,
1997,manufacturing,13800,4,2.9,2.6,,,
1997,others,-,2.7,2.7,2.3,,,
1997,services,21000,4.6,3.5,3,,,
1998,construction,2700,1.6,2.4,2.1,1240,2450,1210
1998,manufacturing,5200,1.6,1.9,1.8,1770,20700,18930
1998,others,100,2.3,1.9,1.8,30,30,-
1998,services,10400,2.2,2.5,2.2,690,9630,8940
1999,construction,1900,1.1,2.3,2.2,320,830,520
1999,manufacturing,6000,1.9,2.2,1.9,380,8370,7990
1999,others,300,3.9,1.7,1.1,-,10,-
1999,services,12600,2.6,2.9,2.4,210,6320,6110
2000,construction,1600,1,2.5,2.2,130,380,250
2000,manufacturing,8600,2.8,2.8,2.1,90,7500,7410
2000,others,200,2.6,3.5,2.5,-,-,-
2000,services,17100,3.2,3.5,2.8,110,4080,3970
2001,construction,900,0.6,2.5,2.4,210,900,700
2001,manufacturing,3800,1.2,1.8,1.8,1240,15680,14440
2001,others,300,2.6,3.8,3,-,200,200
2001,services,10900,2,2.8,2.4,290,10780,10500
2002,construction,700,0.5,2,2.1,150,1000,850
2002,manufacturing,5100,1.6,2,1.7,520,9660,9140
2002,others,400,3.4,3.8,3,100,180,80
2002,services,8900,1.6,2.6,2.2,270,9290,9010
2003,construction,600,0.4,2.2,2,120,740,630
2003,manufacturing,4300,1.3,1.9,1.6,250,7480,7230
2003,others,300,2.3,3,2.8,10,270,270
2003,services,7500,1.3,2.6,2.3,490,8770,8280
2004,construction,600,0.5,2.3,1.8,30,410,370
2004,manufacturing,5400,1.7,2.4,1.7,220,4700,4480
2004,others,300,2.4,3.3,2.9,-,310,310
2004,services,10200,1.7,3.1,2.5,200,5220,5020
2005,construction,700,0.6,2.6,1.8,330,540,210
2005,manufacturing,6200,1.8,2.1,1.6,270,7080,6810
2005,others,200,2,3.3,2.7,-,20,10
